ea_name	magic	ticket	symbol	timeframe	open_time	close_time	type	open_price	close_price	sl	tp	lot	sl_pips	tp_pips	profit_pips	profit_usd	exit_reason	be_triggered	trail_triggered	duration_min	session	rr_configured	rr_actual
Manual	0	4402979277	XAUUSD	HISTORY	2026.04.10 19:48	2026.04.10 21:05	SELL	4761.09	4753.63	4753.44	4715.0	0.04	0	0	74.6	29.84	HISTORY	false	false	77	NewYork	0	0
Manual	0	4403038626	XAUUSD	HISTORY	2026.04.10 21:15	2026.04.10 21:23	BUY	4764.75	4766.54	4766.54	4778.59	0.02	0	0	17.9	3.58	HISTORY	false	false	8	OffHour	0	0
Manual	0	4403049237	XAUUSD	HISTORY	2026.04.10 21:31	2026.04.10 21:35	BUY	4768.43	4770.03	4770.05	0.0	0.02	0	0	16.0	3.2	HISTORY	false	false	4	OffHour	0	0
Manual	0	4403061995	XAUUSD	HISTORY	2026.04.10 21:53	2026.04.10 21:55	BUY	4767.34	4767.46	4767.48	0.0	0.02	0	0	1.2	0.24	HISTORY	false	false	2	OffHour	0	0
Manual	0	4403075464	XAUUSD	HISTORY	2026.04.10 22:20	2026.04.10 22:28	BUY	4770.25	4763.26	4763.31	4786.01	0.02	0	0	-69.9	-13.98	HISTORY	false	false	8	OffHour	0	0
Manual	0	4403089562	XAUUSD	HISTORY	2026.04.10 22:50	2026.04.10 22:55	SELL	4760.85	4759.9	4759.81	4750.81	0.02	0	0	9.5	1.9	HISTORY	false	false	5	OffHour	0	0
Manual	0	4403094099	XAUUSD	HISTORY	2026.04.10 22:59	2026.04.10 23:12	SELL	4759.44	4754.79	4754.76	4747.67	0.02	0	0	46.5	9.3	HISTORY	false	false	13	OffHour	0	0
Manual	0	4403185952	BTCUSD	HISTORY	2026.04.11 21:33	2026.04.11 21:35	SELL	73250.89	73368.69	73372.2	0.0	0.02	0	0	-117.8	-2.36	HISTORY	false	false	2	OffHour	0	0
Manual	0	4403239547	BTCUSD	HISTORY	2026.04.12 09:49	2026.04.12 09:59	SELL	71688.26	71688.32	71684.77	71529.86	0.1	0	0	-0.1	-0.01	HISTORY	false	false	10	London	0	0
Manual	0	4403239844	BTCUSD	HISTORY	2026.04.12 10:02	2026.04.12 10:12	SELL	71638.34	71687.39	71684.98	71502.77	0.1	0	0	-49.1	-4.91	HISTORY	false	false	10	London	0	0
Manual	0	4403241073	BTCUSD	HISTORY	2026.04.12 10:35	2026.04.12 10:35	SELL	71687.28	71725.67	71711.61	71540.6	0.1	0	0	-38.4	-3.84	HISTORY	false	false	0	London	0	0
Manual	0	4403241620	BTCUSD	HISTORY	2026.04.12 10:47	2026.04.12 11:12	BUY	71755.28	71649.58	71650.87	71935.47	0.1	0	0	-105.7	-10.57	HISTORY	false	false	25	London	0	0
